Timestep;Y;M;D;H;AvgOfRealTime
624;2015;2;14;23;10441.50
625;2015;2;15;0;9932.00
626;2015;2;15;1;9460.00
627;2015;2;15;2;9046.00
628;2015;2;15;3;8836.00
629;2015;2;15;4;8713.25
630;2015;2;15;5;8738.50
631;2015;2;15;6;8908.25
632;2015;2;15;7;8973.50
633;2015;2;15;8;9159.50
634;2015;2;15;9;9581.25
635;2015;2;15;10;9973.00
636;2015;2;15;11;10202.00
637;2015;2;15;12;10082.00
638;2015;2;15;13;9725.50
639;2015;2;15;14;9533.50
640;2015;2;15;15;9352.75
641;2015;2;15;16;9318.50
642;2015;2;15;17;9607.50
643;2015;2;15;18;10646.75
644;2015;2;15;19;10840.25
645;2015;2;15;20;10560.00
646;2015;2;15;21;10237.50
647;2015;2;15;22;10386.75
648;2015;2;15;23;10446.75
649;2015;2;16;0;9953.75
650;2015;2;16;1;9583.50
651;2015;2;16;2;9218.75
652;2015;2;16;3;9126.00
653;2015;2;16;4;9184.25
654;2015;2;16;5;9654.75
655;2015;2;16;6;10770.75
656;2015;2;16;7;11415.25
657;2015;2;16;8;11835.50
658;2015;2;16;9;12168.25
659;2015;2;16;10;12249.25
660;2015;2;16;11;12445.50
661;2015;2;16;12;12257.50
662;2015;2;16;13;12239.25
663;2015;2;16;14;12061.75
664;2015;2;16;15;12062.50
665;2015;2;16;16;11906.25
666;2015;2;16;17;12138.75
667;2015;2;16;18;12790.25
668;2015;2;16;19;12446.25
669;2015;2;16;20;11874.75
670;2015;2;16;21;11247.75
671;2015;2;16;22;11454.25
672;2015;2;16;23;11345.25
673;2015;2;17;0;10789.50
674;2015;2;17;1;10254.50
675;2015;2;17;2;9937.00
676;2015;2;17;3;9663.75
677;2015;2;17;4;9777.75
678;2015;2;17;5;10145.50
679;2015;2;17;6;11052.00
680;2015;2;17;7;11746.25
681;2015;2;17;8;12135.50
682;2015;2;17;9;12478.00
683;2015;2;17;10;12750.00
684;2015;2;17;11;12865.25
685;2015;2;17;12;12623.50
686;2015;2;17;13;12508.25
687;2015;2;17;14;12352.50
688;2015;2;17;15;12202.25
689;2015;2;17;16;12097.00
690;2015;2;17;17;12170.50
691;2015;2;17;18;12737.50
692;2015;2;17;19;12605.00
693;2015;2;17;20;12005.50
694;2015;2;17;21;11453.75
695;2015;2;17;22;11730.25
696;2015;2;17;23;11683.00
697;2015;2;18;0;11014.50
698;2015;2;18;1;10578.75
699;2015;2;18;2;10234.25
700;2015;2;18;3;10039.50
701;2015;2;18;4;10047.50
702;2015;2;18;5;10412.75
703;2015;2;18;6;11277.00
704;2015;2;18;7;11897.50
705;2015;2;18;8;12250.25
706;2015;2;18;9;12557.00
707;2015;2;18;10;12690.75
708;2015;2;18;11;12798.25
709;2015;2;18;12;12587.75
710;2015;2;18;13;12464.75
711;2015;2;18;14;12243.75
712;2015;2;18;15;12113.00
713;2015;2;18;16;11894.75
714;2015;2;18;17;11987.75
715;2015;2;18;18;12618.50
716;2015;2;18;19;12711.00
717;2015;2;18;20;12177.50
718;2015;2;18;21;11625.50
719;2015;2;18;22;11846.25
720;2015;2;18;23;11844.50
721;2015;2;19;0;11312.25
722;2015;2;19;1;10831.75
723;2015;2;19;2;10421.50
724;2015;2;19;3;10075.50
725;2015;2;19;4;10046.00
726;2015;2;19;5;10374.00
727;2015;2;19;6;11353.75
728;2015;2;19;7;12008.75
729;2015;2;19;8;12274.00
730;2015;2;19;9;12462.75
731;2015;2;19;10;12481.50
732;2015;2;19;11;12566.50
733;2015;2;19;12;12348.00
734;2015;2;19;13;12327.25
735;2015;2;19;14;12194.50
736;2015;2;19;15;12136.00
737;2015;2;19;16;11992.00
738;2015;2;19;17;12040.00
739;2015;2;19;18;12548.75
740;2015;2;19;19;12389.25
741;2015;2;19;20;11855.00
742;2015;2;19;21;11267.75
743;2015;2;19;22;11415.00
744;2015;2;19;23;11426.00
745;2015;2;20;0;10777.75
746;2015;2;20;1;10311.00
747;2015;2;20;2;9900.25
748;2015;2;20;3;9745.50
749;2015;2;20;4;9726.00
750;2015;2;20;5;10024.25
751;2015;2;20;6;11039.50
752;2015;2;20;7;11586.50
753;2015;2;20;8;12032.75
754;2015;2;20;9;12403.50
755;2015;2;20;10;12535.25
756;2015;2;20;11;12803.00
757;2015;2;20;12;12662.75
758;2015;2;20;13;12547.25
759;2015;2;20;14;12312.25
760;2015;2;20;15;12114.00
761;2015;2;20;16;11946.75
762;2015;2;20;17;12140.25
763;2015;2;20;18;12495.00
764;2015;2;20;19;12063.00
765;2015;2;20;20;11501.25
766;2015;2;20;21;10932.75
767;2015;2;20;22;11257.25
768;2015;2;20;23;11363.50
769;2015;2;21;0;10656.50
