Timestep;Y;M;D;H;real_time_measured_MW;monitored_capacity_MW;capacity_factor
355;2015;2;3;18;192.04;712.2;0.269643359
356;2015;2;3;19;216.28;712.2;0.303678742
357;2015;2;3;20;172.77;712.2;0.242586352
358;2015;2;3;21;263.06;712.2;0.369362539
359;2015;2;3;22;265.16;712.2;0.372311149
360;2015;2;3;23;205.03;712.2;0.287882617
361;2015;2;4;0;120.62;712.2;0.169362539
362;2015;2;4;1;96.75;712.2;0.135846672
363;2015;2;4;2;40.67;712.2;0.057104746
364;2015;2;4;3;170.25;712.2;0.23904802
365;2015;2;4;4;165.16;712.2;0.231901151
366;2015;2;4;5;210.75;712.2;0.295914069
367;2015;2;4;6;181.9;712.2;0.255405785
368;2015;2;4;7;280.87;712.2;0.394369559
369;2015;2;4;8;118.71;712.2;0.166680708
370;2015;2;4;9;87.75;712.2;0.123209773
371;2015;2;4;10;88.55;712.2;0.124333053
372;2015;2;4;11;108.05;712.2;0.151713002
373;2015;2;4;12;230.01;712.2;0.322957035
374;2015;2;4;13;230.11;712.2;0.323097445
375;2015;2;4;14;331.74;712.2;0.465796125
376;2015;2;4;15;259.41;712.2;0.364237574
377;2015;2;4;16;252.98;712.2;0.355209211
378;2015;2;4;17;191.59;712.2;0.269011514
379;2015;2;4;18;325.42;712.2;0.456922213
380;2015;2;4;19;436.83;712.2;0.613352991
381;2015;2;4;20;373.58;712.2;0.524543668
382;2015;2;4;21;265.61;712.2;0.372942994
383;2015;2;4;22;220.94;712.2;0.310221848
384;2015;2;4;23;110.71;712.2;0.155447908
385;2015;2;5;0;50.54;712.2;0.070963213
386;2015;2;5;1;21.59;712.2;0.030314518
387;2015;2;5;2;12.22;712.2;0.017158102
388;2015;2;5;3;7.29;712.2;0.010235889
389;2015;2;5;4;8.98;712.2;0.012608818
390;2015;2;5;5;16.92;712.2;0.023757372
391;2015;2;5;6;8.77;712.2;0.012313957
392;2015;2;5;7;39.44;712.2;0.055377703
393;2015;2;5;8;58.74;712.2;0.082476832
394;2015;2;5;9;249.42;712.2;0.350210615
395;2015;2;5;10;301.47;712.2;0.423294019
396;2015;2;5;11;237.5;712.2;0.333473743
397;2015;2;5;12;213.39;712.2;0.299620893
398;2015;2;5;13;343.2;712.2;0.48188711
399;2015;2;5;14;440.8;712.2;0.618927268
400;2015;2;5;15;509.71;712.2;0.715683797
401;2015;2;5;16;561.84;712.2;0.788879528
402;2015;2;5;17;569.95;712.2;0.800266779
403;2015;2;5;18;585.55;712.2;0.822170739
404;2015;2;5;19;561.24;712.2;0.788037068
405;2015;2;5;20;593.66;712.2;0.833557989
406;2015;2;5;21;653.04;712.2;0.916933446
407;2015;2;5;22;647.69;712.2;0.909421511
408;2015;2;5;23;650.29;712.2;0.913072171
409;2015;2;6;0;651.82;712.2;0.915220444
410;2015;2;6;1;662.37;712.2;0.930033698
411;2015;2;6;2;663.11;712.2;0.931072732
412;2015;2;6;3;664.41;712.2;0.932898062
413;2015;2;6;4;661.79;712.2;0.92921932
414;2015;2;6;5;659.95;712.2;0.926635776
415;2015;2;6;6;661.64;712.2;0.929008705
416;2015;2;6;7;660.88;712.2;0.927941589
417;2015;2;6;8;663.49;712.2;0.93160629
418;2015;2;6;9;654.45;712.2;0.918913227
419;2015;2;6;10;650.42;712.2;0.913254704
420;2015;2;6;11;638.08;712.2;0.89592811
421;2015;2;6;12;657.14;712.2;0.922690256
422;2015;2;6;13;650.34;712.2;0.913142376
423;2015;2;6;14;648.87;712.2;0.911078349
424;2015;2;6;15;657.05;712.2;0.922563887
425;2015;2;6;16;659.88;712.2;0.926537489
426;2015;2;6;17;657.54;712.2;0.923251896
427;2015;2;6;18;661.47;712.2;0.928770008
428;2015;2;6;19;645.94;712.2;0.906964336
429;2015;2;6;20;627.66;712.2;0.881297388
430;2015;2;6;21;606.1;712.2;0.851024993
431;2015;2;6;22;546.24;712.2;0.766975569
432;2015;2;6;23;530.61;712.2;0.745029486
433;2015;2;7;0;474.51;712.2;0.666259478
434;2015;2;7;1;451.89;712.2;0.634498736
435;2015;2;7;2;393.69;712.2;0.552780118
436;2015;2;7;3;316.69;712.2;0.44466442
437;2015;2;7;4;270.12;712.2;0.379275484
438;2015;2;7;5;222.4;712.2;0.312271834
439;2015;2;7;6;179.07;712.2;0.251432182
440;2015;2;7;7;161.48;712.2;0.226734063
441;2015;2;7;8;195.57;712.2;0.274599832
442;2015;2;7;9;157.76;712.2;0.221510812
443;2015;2;7;10;25.85;712.2;0.036295984
444;2015;2;7;11;19.97;712.2;0.028039876
445;2015;2;7;12;9.85;712.2;0.013830385
446;2015;2;7;13;12.69;712.2;0.017818029
447;2015;2;7;14;75.15;712.2;0.105518113
448;2015;2;7;15;276.08;712.2;0.38764392
449;2015;2;7;16;413.68;712.2;0.580848076
450;2015;2;7;17;424;712.2;0.595338388
451;2015;2;7;18;418.34;712.2;0.587391182
452;2015;2;7;19;529.33;712.2;0.743232238
453;2015;2;7;20;466.95;712.2;0.655644482
454;2015;2;7;21;592.18;712.2;0.831479921
455;2015;2;7;22;612.18;712.2;0.859561921
456;2015;2;7;23;629.33;712.2;0.883642235
457;2015;2;8;0;627.29;712.2;0.880777871
458;2015;2;8;1;640.69;712.2;0.899592811
459;2015;2;8;2;657.81;712.2;0.923631003
460;2015;2;8;3;657.6;712.2;0.923336142
461;2015;2;8;4;655.47;712.2;0.920345409
462;2015;2;8;5;649.6;712.2;0.912103342
463;2015;2;8;6;644.69;712.2;0.905209211
464;2015;2;8;7;649.89;712.2;0.912510531
465;2015;2;8;8;656.2;712.2;0.921370402
466;2015;2;8;9;655.54;712.2;0.920443696
467;2015;2;8;10;655.8;712.2;0.920808762
468;2015;2;8;11;648.82;712.2;0.911008144
469;2015;2;8;12;614.91;712.2;0.863395114
470;2015;2;8;13;489.03;712.2;0.686647009
471;2015;2;8;14;341.78;712.2;0.479893288
472;2015;2;8;15;215.85;712.2;0.303074979
473;2015;2;8;16;136.03;712.2;0.190999719
474;2015;2;8;17;98.33;712.2;0.13806515
475;2015;2;8;18;155.46;712.2;0.218281382
476;2015;2;8;19;160.56;712.2;0.225442291
477;2015;2;8;20;170.1;712.2;0.238837405
478;2015;2;8;21;87.45;712.2;0.122788543
479;2015;2;8;22;109.36;712.2;0.153552373
480;2015;2;8;23;127.09;712.2;0.178447065
481;2015;2;9;0;170.97;712.2;0.240058972
482;2015;2;9;1;290.28;712.2;0.40758214
483;2015;2;9;2;255.35;712.2;0.358536928
484;2015;2;9;3;227.22;712.2;0.319039596
485;2015;2;9;4;128.11;712.2;0.179879247
486;2015;2;9;5;57.77;712.2;0.081114855
487;2015;2;9;6;31.36;712.2;0.044032575
488;2015;2;9;7;27.83;712.2;0.039076102
489;2015;2;9;8;38.7;712.2;0.054338669
490;2015;2;9;9;9;712.2;0.0126369
491;2015;2;9;10;30.89;712.2;0.043372648
492;2015;2;9;11;65.95;712.2;0.092600393
493;2015;2;9;12;36.93;712.2;0.051853412
494;2015;2;9;13;16.66;712.2;0.023392306
495;2015;2;9;14;20.35;712.2;0.028573434
496;2015;2;9;15;31.27;712.2;0.043906206
497;2015;2;9;16;56.02;712.2;0.07865768
498;2015;2;9;17;53.58;712.2;0.075231676
499;2015;2;9;18;62.82;712.2;0.08820556
500;2015;2;9;19;75.99;712.2;0.106697557
501;2015;2;9;20;78.53;712.2;0.110263971
502;2015;2;9;21;63.3;712.2;0.088879528
503;2015;2;9;22;80.15;712.2;0.112538613
504;2015;2;9;23;47.49;712.2;0.066680708
505;2015;2;10;0;23.03;712.2;0.032336422
506;2015;2;10;1;43.02;712.2;0.060404381
507;2015;2;10;2;29.57;712.2;0.041519236
508;2015;2;10;3;18.71;712.2;0.02627071
509;2015;2;10;4;32.27;712.2;0.045310306
510;2015;2;10;5;21.28;712.2;0.029879247
511;2015;2;10;6;15.84;712.2;0.022240944
512;2015;2;10;7;7.02;712.2;0.009856782
513;2015;2;10;8;5.3;712.2;0.00744173
514;2015;2;10;9;3.48;712.2;0.004886268
515;2015;2;10;10;9.59;712.2;0.013465319
516;2015;2;10;11;11.88;712.2;0.016680708
517;2015;2;10;12;3.2;712.2;0.00449312
518;2015;2;10;13;3.2;712.2;0.00449312
519;2015;2;10;14;3.2;712.2;0.00449312
520;2015;2;10;15;3.2;712.2;0.00449312
521;2015;2;10;16;3.2;712.2;0.00449312
522;2015;2;10;17;5.59;712.2;0.007848919
523;2015;2;10;18;17.09;712.2;0.023996069
524;2015;2;10;19;22.88;712.2;0.032125807
525;2015;2;10;20;37.72;712.2;0.052962651
526;2015;2;10;21;62.35;712.2;0.087545633
527;2015;2;10;22;100.63;712.2;0.14129458
528;2015;2;10;23;136.26;712.2;0.191322662
529;2015;2;11;0;138.23;712.2;0.194088739
530;2015;2;11;1;95.61;712.2;0.134245998
531;2015;2;11;2;69.31;712.2;0.097318169
532;2015;2;11;3;64.69;712.2;0.090831227
533;2015;2;11;4;56.7;712.2;0.079612468
534;2015;2;11;5;52.43;712.2;0.073616962
535;2015;2;11;6;47.2;712.2;0.066273519
536;2015;2;11;7;39.14;712.2;0.054956473
537;2015;2;11;8;31.77;712.2;0.044608256
538;2015;2;11;9;20.71;712.2;0.02907891
539;2015;2;11;10;21.5;712.2;0.030188149
540;2015;2;11;11;29.72;712.2;0.041729851
541;2015;2;11;12;24.87;712.2;0.034919966
542;2015;2;11;13;10.11;712.2;0.014195451
543;2015;2;11;14;3.79;712.2;0.005321539
544;2015;2;11;15;3.79;712.2;0.005321539
545;2015;2;11;16;3.79;712.2;0.005321539
546;2015;2;11;17;3.79;712.2;0.005321539
547;2015;2;11;18;3.79;712.2;0.005321539
548;2015;2;11;19;3.79;712.2;0.005321539
549;2015;2;11;20;3.78;712.2;0.005307498
550;2015;2;11;21;3.79;712.2;0.005321539
